,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
2039-10-01,3089.0409999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.5190000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
2039-10-02,3082.900481121036,10.283404504496655,10.283404504496655,6.262759343206333,4530.333333333333,2.6925114153343332,0.0,0.0,721.2866670392609,2.912256125879879,2.912256125879879,2.0296754807185886,967.0,1.1371134987505889,0.0,0.0,2730.094464702587,6.748354273646948,6.748354273646948,6.748354273646948,3325.0666666666666,5.2607509703669475,0.0,0.0,15.040789097571869,5.950413213119999,3.8296249140849214,5.2607509703669475,82.0,9.574062285212307,10.521501940733895
2039-10-03,3076.5959101223016,10.256979672742798,10.256979672742798,6.262786124355701,4508.666666666667,2.692538196483701,0.0,0.0,718.6253933757843,2.906422893117609,2.906422893117609,2.0296486995692216,959.0,1.1370867176012216,0.0,0.0,2724.7111726083785,6.699136629204268,6.699136629204268,6.699136629204268,3312.6,5.211533325924267,0.0,0.0,14.99157145312919,5.950413213119998,3.8296249140849232,5.211533325924267,82.47952069531938,9.574062285212307,10.423066651848535
2039-10-04,3070.265091195451,10.230527575090596,10.230527575090596,6.262785639606726,4487.0,2.6925377117347256,0.0,0.0,715.9627200537522,2.9006169262536807,2.9006169262536807,2.0296491843181967,951.0,1.1370872023501968,0.0,0.0,2719.3684387335006,6.649918984761588,6.649918984761588,6.649918984761588,3300.133333333333,5.162315681481588,0.0,0.0,14.942353808686512,5.95041321312,3.8296249140849232,5.162315681481588,82.9326677523962,9.574062285212307,10.324631362963176
2039-10-05,3063.9224639942863,10.204071596841635,10.204071596841635,6.262781274260989,4465.333333333333,2.6925333463889896,0.0,0.0,713.3001135575997,2.8948148399865143,2.8948148399865143,2.0296535496639336,943.0,1.1370915676959334,0.0,0.0,2714.0670465194094,6.600701340318907,6.600701340318907,6.600701340318907,3287.6666666666665,5.113098037038907,0.0,0.0,14.893136164243831,5.95041321312,3.8296249140849232,5.113098037038907,83.36089172133379,9.574062285212307,10.226196074077814
2039-10-06,3057.578113545513,10.17761357999041,10.17761357999041,6.262774870312992,4443.666666666667,2.692526942440992,0.0,0.0,710.6385504213873,2.8890147923216083,2.8890147923216083,2.029659953611931,935.0,1.137097971643931,0.0,0.0,2708.808021969441,6.551483695876228,6.551483695876228,6.551483695876228,3275.2,5.063880392596228,0.0,0.0,14.84391851980115,5.950413213119998,3.8296249140849232,5.063880392596228,83.76556337197981,9.574062285212307,10.127760785192455
2039-10-07,3051.278246203066,10.15115483462476,10.15115483462476,6.262767737850567,4422.0,2.6925198099785677,0.0,0.0,708.0418213688852,2.883215473171129,2.883215473171129,2.0296670860743546,927.0,1.1371051041063547,0.0,0.0,2703.602431749885,6.502266051433549,6.502266051433549,6.502266051433549,3262.7333333333336,5.014662748153548,0.0,0.0,14.794700875358469,5.95041321312,3.8296249140849214,5.014662748153548,84.14797808184031,9.574062285212307,10.029325496307097
2039-10-08,3047.39092252918,10.124677552015898,10.124677552015898,6.262742068144931,4400.333333333333,2.692494140272931,0.0,0.0,705.5096526433523,2.8774346912638626,2.8774346912638626,2.0296927557799918,919.0,1.1371307738119918,0.0,0.0,2699.1919038796677,6.4530484069908685,6.4530484069908685,6.4530484069908685,2962.7666666666664,4.965445103710868,0.0,0.0,14.745483230915791,5.950413213119999,3.8296249140849232,4.965445103710868,84.50935998265847,9.574062285212307,9.930890207421736
2039-10-09,3041.620445244549,10.098584361853659,10.098584361853659,6.263100490885917,4378.666666666667,2.692852563013917,0.0,0.0,702.9290060796485,2.8712698169099737,2.8712698169099737,2.029334333039006,911.0,1.136772351071006,0.0,0.0,2694.227880053041,6.403830762548188,6.403830762548188,6.403830762548188,2937.8,4.916227459268188,0.0,0.0,14.69626558647311,5.950413213119998,3.8296249140849232,4.916227459268188,84.85086587893163,9.574062285212307,9.832454918536376
2039-10-10,3035.695644813146,10.072191064765097,10.072191064765097,6.263158806700581,4357.0,2.6929108788285805,0.0,0.0,700.3473018403103,2.8654050494824075,2.8654050494824075,2.029276017224343,903.0,1.1367140352563427,0.0,0.0,2689.276030260123,6.354613118105509,6.354613118105509,6.354613118105509,2912.8333333333335,4.867009814825509,0.0,0.0,14.647047942030433,5.95041321312,3.829624914084925,4.867009814825509,85.17358895090977,9.574062285212307,9.734019629651018
2039-10-11,3029.6959912068232,10.045772049917264,10.045772049917264,6.2631914047559745,4335.333333333333,2.6929434768839737,0.0,0.0,697.7596672175148,2.8595659998141105,2.8595659998141105,2.0292434191689495,895.0,1.1366814372009493,0.0,0.0,2684.3447601506855,6.305395473662828,6.305395473662828,6.305395473662828,2887.866666666667,4.817792170382828,0.0,0.0,14.597830297587752,5.95041321312,3.829624914084925,4.817792170382828,85.47856225392911,9.574062285212307,9.635584340765655
2039-10-12,3024.3300991479036,10.019342746593585,10.019342746593585,6.263213714335521,4313.666666666667,2.692965786463521,0.0,0.0,695.1673435262261,2.85373723862166,2.85373723862166,2.029221109589402,887.0,1.1366591276214018,0.0,0.0,2679.4426381962144,6.256177829220149,6.256177829220149,6.256177829220149,2862.9,4.768574525940148,0.0,0.0,14.54861265314507,5.950413213119998,3.8296249140849232,4.768574525940148,85.76676202528239,9.574062285212307,9.537149051880297
2039-10-13,3019.0718702038002,9.993023633000753,9.993023633000753,6.263346213645915,4292.0,2.6930982857739143,0.0,0.0,693.916130853017,2.8477982876983634,2.8477982876983634,2.0290886102790084,814.2,1.1365266283110085,0.0,0.0,2680.5719000379586,6.206960184777469,6.206960184777469,6.206960184777469,2837.9333333333334,4.719356881497469,0.0,0.0,14.499395008702393,5.95041321312,3.8296249140849232,4.719356881497469,86.03911080921124,9.574062285212307,9.438713762994938
